EventID,CaseID,Timestamp,Activity,Resource,NumericFeature_1,NumericFeature_2,Version
1,1,2023-01-01 08:00:00,Submit,UserA,5.5,3.1,1
2,1,2023-01-01 08:05:00,Submit,UserB,8.2,2.9,1
3,1,2023-01-01 08:10:00,Submit,System,12.3,1.2,1
4,1,2023-01-01 08:15:00,Submit,UserC,4.1,4.4,1
5,1,2023-01-01 08:20:00,Submit,UserA,6.7,3.3,1
6,1,2023-01-01 08:25:00,Archive,UserC,7.91,17.22,1
7,1,2023-01-01 08:30:00,Review,UserB,13.27,16.26,1
8,1,2023-01-01 08:35:00,Submit,UserB,13.69,15.54,1
9,1,2023-01-01 08:40:00,Review,UserA,6.88,12.28,1
10,1,2023-01-01 08:45:00,Approve,UserC,13.59,17.61,1
11,2,2023-01-01 08:00:00,Review,UserA,5.92,18.61,1
12,2,2023-01-01 08:05:00,Submit,UserC,5.72,12.99,1
13,2,2023-01-01 08:10:00,Review,UserB,12.29,15.57,1
14,2,2023-01-01 08:15:00,Approve,UserA,12.17,15.88,1
15,2,2023-01-01 08:20:00,Archive,UserA,12.49,13.92,1
16,2,2023-01-01 08:25:00,Archive,UserA,12.69,10.68,1
17,2,2023-01-01 08:30:00,Review,UserA,7.88,18.74,1
18,2,2023-01-01 08:35:00,Review,UserA,7.61,12.07,1
19,2,2023-01-01 08:40:00,Review,UserA,11.66,10.75,1
20,2,2023-01-01 08:45:00,Approve,UserB,7.41,17.0,1
21,3,2023-01-01 08:00:00,Archive,UserA,8.35,11.27,1
22,3,2023-01-01 08:05:00,Archive,UserC,13.32,12.74,1
23,3,2023-01-01 08:10:00,Approve,UserA,9.82,18.61,1
24,3,2023-01-01 08:15:00,Submit,UserA,8.83,15.89,1
25,3,2023-01-01 08:20:00,Review,UserA,7.73,14.71,1
26,3,2023-01-01 08:25:00,Approve,UserA,14.48,19.64,1
27,3,2023-01-01 08:30:00,Review,UserB,14.88,10.39,1
28,3,2023-01-01 08:35:00,Approve,UserB,10.16,11.29,1
29,3,2023-01-01 08:40:00,Review,UserC,8.44,17.36,1
30,3,2023-01-01 08:45:00,Approve,UserB,7.76,15.1,1
31,4,2023-01-01 08:00:00,Approve,UserA,12.43,16.71,1
32,4,2023-01-01 08:05:00,Approve,UserA,9.75,19.22,1
33,4,2023-01-01 08:10:00,Archive,UserC,9.67,19.18,1
34,4,2023-01-01 08:15:00,Approve,UserC,5.1,18.57,1
35,4,2023-01-01 08:20:00,Approve,UserC,5.17,13.8,1
36,4,2023-01-01 08:25:00,Submit,UserB,8.39,19.6,1
37,4,2023-01-01 08:30:00,Review,UserC,7.49,10.47,1
38,4,2023-01-01 08:35:00,Archive,UserA,13.23,10.77,1
39,4,2023-01-01 08:40:00,Review,UserB,8.33,10.08,1
40,4,2023-01-01 08:45:00,Approve,UserA,5.81,10.86,1
41,5,2023-01-01 08:00:00,Submit,UserA,11.29,18.62,1
42,5,2023-01-01 08:05:00,Archive,UserB,13.35,13.24,1
43,5,2023-01-01 08:10:00,Archive,UserA,5.44,18.02,1
44,5,2023-01-01 08:15:00,Archive,UserB,8.97,17.26,1
45,5,2023-01-01 08:20:00,Archive,UserA,5.53,16.81,1
46,5,2023-01-01 08:25:00,Review,UserC,7.01,14.98,1
47,5,2023-01-01 08:30:00,Review,UserB,5.63,12.49,1
48,5,2023-01-01 08:35:00,Approve,UserA,9.39,11.4,1
49,5,2023-01-01 08:40:00,Submit,UserC,8.03,13.54,1
50,5,2023-01-01 08:45:00,Approve,UserB,13.96,12.51,1
51,6,2023-01-01 08:00:00,Submit,UserC,9.64,15.84,1
52,6,2023-01-01 08:05:00,Approve,UserC,8.14,19.79,1
53,6,2023-01-01 08:10:00,Review,UserC,7.76,17.46,1
54,6,2023-01-01 08:15:00,Archive,UserC,9.93,19.25,1
55,6,2023-01-01 08:20:00,Archive,UserC,8.77,13.86,1
56,6,2023-01-01 08:25:00,Submit,UserA,8.62,12.82,1
57,6,2023-01-01 08:30:00,Archive,UserC,13.37,18.97,1
58,6,2023-01-01 08:35:00,Archive,UserA,10.8,15.62,1
59,6,2023-01-01 08:40:00,Archive,UserB,5.5,19.01,1
60,6,2023-01-01 08:45:00,Archive,UserB,12.82,11.69,1
61,7,2023-01-01 08:00:00,Submit,UserA,7.7,16.58,1
62,7,2023-01-01 08:05:00,Submit,UserC,12.44,18.49,1
63,7,2023-01-01 08:10:00,Archive,UserA,10.88,16.43,1
64,7,2023-01-01 08:15:00,Approve,UserC,10.02,16.68,1
65,7,2023-01-01 08:20:00,Review,UserC,7.92,19.92,1
66,7,2023-01-01 08:25:00,Submit,UserC,13.38,16.63,1
67,7,2023-01-01 08:30:00,Approve,UserC,14.23,17.16,1
68,7,2023-01-01 08:35:00,Archive,UserB,6.97,11.1,1
69,7,2023-01-01 08:40:00,Submit,UserB,13.21,18.71,1
70,7,2023-01-01 08:45:00,Approve,UserB,7.53,14.84,1
71,8,2023-01-01 08:00:00,Approve,UserC,8.21,19.4,1
72,8,2023-01-01 08:05:00,Approve,UserC,11.83,10.67,1
73,8,2023-01-01 08:10:00,Review,UserA,7.67,13.05,1
74,8,2023-01-01 08:15:00,Approve,UserB,9.49,14.93,1
75,8,2023-01-01 08:20:00,Archive,UserC,7.45,17.79,1
76,8,2023-01-01 08:25:00,Review,UserC,12.08,18.75,1
77,8,2023-01-01 08:30:00,Submit,UserB,6.17,11.07,1
78,8,2023-01-01 08:35:00,Archive,UserB,11.11,12.54,1
79,8,2023-01-01 08:40:00,Approve,UserB,10.9,16.87,1
80,8,2023-01-01 08:45:00,Review,UserB,12.79,10.93,1
81,9,2023-01-01 08:00:00,Approve,UserC,5.35,12.56,1
82,9,2023-01-01 08:05:00,Submit,UserB,11.85,19.05,1
83,9,2023-01-01 08:10:00,Archive,UserC,5.4,13.88,1
84,9,2023-01-01 08:15:00,Review,UserA,5.11,15.38,1
85,9,2023-01-01 08:20:00,Approve,UserC,11.59,12.04,1
86,9,2023-01-01 08:25:00,Archive,UserC,5.84,11.31,1
87,9,2023-01-01 08:30:00,Review,UserB,14.25,18.46,1
88,9,2023-01-01 08:35:00,Submit,UserB,7.28,10.98,1
89,9,2023-01-01 08:40:00,Approve,UserA,13.43,17.77,1
90,9,2023-01-01 08:45:00,Approve,UserB,5.42,17.34,1
91,10,2023-01-01 08:00:00,Approve,UserC,6.9,13.38,1
92,10,2023-01-01 08:05:00,Archive,UserC,11.83,12.19,1
93,10,2023-01-01 08:10:00,Approve,UserB,6.23,15.22,1
94,10,2023-01-01 08:15:00,Submit,UserB,7.01,15.1,1
95,10,2023-01-01 08:20:00,Archive,UserA,12.68,17.46,1
96,10,2023-01-01 08:25:00,Archive,UserC,10.34,17.83,1
97,10,2023-01-01 08:30:00,Archive,UserA,11.73,13.6,1
98,10,2023-01-01 08:35:00,Submit,UserB,8.69,16.28,1
99,10,2023-01-01 08:40:00,Archive,UserB,8.71,18.61,1
100,10,2023-01-01 08:45:00,Submit,UserA,7.3,17.71,1
101,1,2023-01-01 08:00:00,Review,UserA,11.7,17.81,2
102,1,2023-01-01 08:05:00,Archive,UserB,9.64,14.1,2
103,1,2023-01-01 08:10:00,Submit,UserA,8.28,13.07,2
